node,X,Z,classe
31,27.125294759,-67.85,32
33,-27.347095966,-67.85,47
43,-19.868158499,-65.438903101,13
44,-17.509594447,-62.898903101,10
45,-19.868158499,-61.628903101,36
46,-17.509594447,-59.088903101,6
47,-19.868158499,-57.818903101,10
48,-17.509594447,-55.278903101,6
49,-19.868158499,-54.008903101,6
50,-17.509594447,-51.468903101,6
51,-19.868158499,-50.198903101,9
52,-17.509594447,-47.658903101,9
53,-19.868158499,-46.388903101,0
54,-17.509594447,-43.848903101,0
55,-19.868158499,-42.578903101,40
56,-17.509594447,-40.038903101,40
57,-19.868158499,-38.768903101,40
58,-17.509594447,-36.228903101,40
59,-19.868158499,-34.958903101,40
60,-17.509594447,-32.418903101,40
61,-19.868158499,-31.148903101,40
62,-17.509594447,-28.608903101,40
63,-19.868158499,-27.338903101,0
64,-17.509594447,-24.798903101,0
65,-19.868158499,-23.528903101,0
66,-17.509594447,-20.988903101,27
67,-19.868158499,-19.718903101,27
68,-17.509594447,-17.178903101,27
69,-19.868158499,-15.908903101,27
70,-17.509594447,-13.368903101,9
71,-17.509594447,-9.5589031012,6
72,-19.868158499,-12.098903101,9
73,9.2075,-63.5,48
74,9.2075,-59.69,38
75,9.2075,-55.88,38
76,9.2075,-52.07,14
77,9.2075,-48.26,43
78,9.2075,-44.45,43
79,9.2075,-40.64,22
80,9.2075,-36.83,22
81,9.2075,-33.02,22
82,9.2075,-29.21,22
83,9.2075,-25.4,40
84,9.2075,-21.59,0
85,9.2075,-17.78,27
86,9.2075,-13.97,27
87,9.2075,-10.16,27
266,-27.347095966,0.0,27
267,27.125294759,0.0,27
661,-26.477704962,-67.85,32
662,-25.601420086,-67.85,37
663,-24.699594075,-67.85,2
664,-23.810029803,-67.85,12
665,-22.88177469,-67.85,12
666,-21.979621217,-67.85,42
667,-21.064397646,-67.85,2
668,-20.115228579,-67.85,21
669,-19.182779521,-67.85,21
670,-18.257808124,-67.85,21
671,-17.327624509,-67.85,44
672,-16.392413338,-67.85,20
673,-15.452336753,-67.85,20
674,-14.507549655,-67.85,45
675,-13.55820794,-67.85,13
676,-12.604377522,-67.85,13
677,-11.646276343,-67.85,13
678,-10.684132274,-67.85,13
679,-9.718030763,-67.85,48
680,-8.7481413098,-67.85,48
681,-7.7746550834,-67.85,20
682,-6.797710076,-67.85,48
683,-5.8174970157,-67.85,20
684,-4.8342238111,-67.85,20
685,-3.8481276185,-67.85,20
686,-2.8594815412,-67.85,20
687,-1.8685040481,-67.85,48
688,-0.87560547721,-67.85,13
689,0.1187669887,-67.85,13
690,1.1142645259,-67.85,36
691,2.1103824007,-67.85,23
692,3.1066657147,-67.85,23
693,4.1025708792,-67.85,20
694,5.0975212399,-67.85,23
695,6.0908606988,-67.85,13
696,7.0819975657,-67.85,13
697,8.0701281198,-67.85,13
698,9.0545245299,-67.85,13
699,10.044755341,-67.85,23
700,11.019449326,-67.85,3
701,11.988233549,-67.85,20
702,13.00076237,-67.85,12
703,13.9550246,-67.85,16
704,14.901261849,-67.85,16
705,15.838668632,-67.85,29
706,16.766677877,-67.85,36
707,17.684745281,-67.85,36
708,18.592396988,-67.85,36
709,19.489204536,-67.85,29
710,20.374705928,-67.85,15
711,21.248619571,-67.85,39
712,22.110672056,-67.85,39
713,22.960586754,-67.85,47
714,23.798252793,-67.85,39
715,24.623631244,-67.85,39
716,25.436642742,-67.85,47
717,26.237259408,-67.85,32
718,-27.347095966,-1.4016025633,27
719,-27.347095966,-2.6150905195,27
720,-27.347095966,-3.9139580729,27
721,-27.347095966,-5.4109077075,27
722,-27.347095966,-6.6310632328,27
723,-27.347095966,-7.9465658294,27
724,-27.347095966,-9.2557585468,27
725,-27.347095966,-10.663670989,27
726,-27.347095966,-11.92214986,27
727,-27.347095966,-13.204158103,27
728,-27.347095966,-14.696278746,0
729,-27.347095966,-16.097881309,0
730,-27.347095966,-17.294734222,0
731,-27.347095966,-18.610236819,0
732,-27.347095966,-19.994312893,0
733,-27.347095966,-21.327341979,0
734,-27.347095966,-22.626417467,0
735,-27.347095966,-23.895600512,0
736,-27.347095966,-25.359949735,0
737,-27.347095966,-26.561991825,40
738,-27.347095966,-27.872305245,40
739,-27.347095966,-29.346363147,40
740,-27.347095966,-30.713526721,40
741,-27.347095966,-31.991012968,40
742,-27.347095966,-33.306515565,40
743,-27.347095966,-34.59986812,40
744,-27.347095966,-36.023620724,40
745,-27.347095966,-37.266259432,40
746,-27.347095966,-38.548267676,40
747,-27.347095966,-40.074842086,40
748,-27.347095966,-41.271694999,40
749,-27.347095966,-42.587197595,40
750,-27.347095966,-43.955418729,40
751,-27.347095966,-45.304302755,40
752,-27.347095966,-46.595450773,40
753,-27.347095966,-47.877459017,40
754,-27.347095966,-49.15946726,40
755,-27.347095966,-50.652413108,40
756,-27.347095966,-51.849266021,40
757,-27.347095966,-53.164768618,0
758,-27.347095966,-54.58163327,27
759,-27.347095966,-55.881873778,27
760,-27.347095966,-57.184518357,9
761,-27.347095966,-58.4665266,9
762,-27.347095966,-59.914481534,9
763,-27.347095966,-61.132917913,6
764,-27.347095966,-62.426837044,6
765,-27.347095966,-63.933683524,10
766,-27.347095966,-65.300847099,45
767,-27.347095966,-66.545544767,33
768,-26.059534749,0.0,27
769,-24.907586928,0.0,27
770,-23.669571922,0.0,27
771,-22.358878027,0.0,27
772,-21.052428967,0.0,27
773,-19.825527575,0.0,9
774,-18.709569793,0.0,9
775,-17.50493525,0.0,9
776,-16.037780143,0.0,9
777,-14.836729144,0.0,9
778,-13.54341223,0.0,9
779,-12.263118717,0.0,6
780,-11.003531834,0.0,6
781,-9.7196961883,0.0,10
782,-8.3857505579,0.0,10
783,-7.2160773466,0.0,10
784,-5.8370554131,0.0,48
785,-4.4992911165,0.0,48
786,-3.0350189512,0.0,10
787,-1.8435688192,0.0,10
788,-0.64936756411,0.0,10
789,0.66599842984,0.0,6
790,1.9826375022,0.0,6
791,3.2774182451,0.0,9
792,4.5001280985,0.0,9
793,5.671697954,0.0,9
794,7.1598022866,0.0,9
795,8.3285095134,0.0,9
796,9.6698944259,0.0,9
797,10.973056808,0.0,9
798,12.140394855,0.0,9
799,13.399225438,0.0,9
800,14.627439229,0.0,27
801,15.87658457,0.0,27
802,17.009523428,0.0,27
803,18.294903225,0.0,27
804,19.422884028,0.0,27
805,20.569355063,0.0,27
806,21.652337421,0.0,27
807,22.827967638,0.0,27
808,23.881683926,0.0,27
809,25.016186427,0.0,27
810,26.034443655,0.0,27
811,27.025109654,-1.1221519376,27
812,27.025109654,-2.262621128,27
813,27.025109654,-3.302392093,27
814,27.025109654,-4.4396367048,27
815,27.025109654,-5.6284274998,27
816,27.025109654,-6.813737678,0
817,27.025109654,-8.0711052415,0
818,27.025109654,-9.2215413542,0
819,27.025109654,-10.238145497,0
820,27.025109654,-11.305877844,0
821,27.025109654,-12.373610192,0
822,27.025109654,-13.414539346,0
823,27.025109654,-14.457428796,40
824,27.025109654,-15.525161143,40
825,27.025109654,-16.592893491,40
826,27.025109654,-17.638385553,40
827,27.025109654,-18.7061179,40
828,27.025109654,-19.773850247,40
829,27.025109654,-20.831429293,40
830,27.025109654,-21.887074657,40
831,27.025109654,-23.014071549,40
