node,X,Y,Z,classe
31,27.125294759,9.8466824182,-67.85,2
33,-27.347095966,9.5813266371,-67.85,2
43,-19.868158499,5.8956007691,-65.438903101,7
44,-17.509594447,4.9528516949,-62.898903101,5
45,-19.868158499,5.8956007691,-61.628903101,7
46,-17.509594447,4.9528516949,-59.088903101,5
47,-19.868158499,5.8956007691,-57.818903101,1
48,-17.509594447,4.9528516949,-55.278903101,5
49,-19.868158499,5.8956007691,-54.008903101,5
50,-17.509594447,4.9528516949,-51.468903101,5
51,-19.868158499,5.8956007691,-50.198903101,0
52,-17.509594447,4.9528516949,-47.658903101,0
53,-19.868158499,5.8956007691,-46.388903101,0
54,-17.509594447,4.9528516949,-43.848903101,0
55,-19.868158499,5.8956007691,-42.578903101,0
56,-17.509594447,4.9528516949,-40.038903101,9
57,-19.868158499,5.8956007691,-38.768903101,9
58,-17.509594447,4.9528516949,-36.228903101,9
59,-19.868158499,5.8956007691,-34.958903101,9
60,-17.509594447,4.9528516949,-32.418903101,9
61,-19.868158499,5.8956007691,-31.148903101,0
62,-17.509594447,4.9528516949,-28.608903101,9
63,-19.868158499,5.8956007691,-27.338903101,0
64,-17.509594447,4.9528516949,-24.798903101,0
65,-19.868158499,5.8956007691,-23.528903101,0
66,-17.509594447,4.9528516949,-20.988903101,0
67,-19.868158499,5.8956007691,-19.718903101,0
68,-17.509594447,4.9528516949,-17.178903101,0
69,-19.868158499,5.8956007691,-15.908903101,0
70,-17.509594447,4.9528516949,-13.368903101,0
71,-17.509594447,4.9528516949,-9.5589031012,5
72,-19.868158499,5.8956007691,-12.098903101,0
73,9.2075,1.5487333489,-63.5,1
74,9.2075,1.5487333489,-59.69,4
75,9.2075,1.5487333489,-55.88,9
76,9.2075,1.5487333489,-52.07,9
77,9.2075,1.5487333489,-48.26,9
78,9.2075,1.5487333489,-44.45,9
79,9.2075,1.5487333489,-40.64,9
80,9.2075,1.5487333489,-36.83,9
81,9.2075,1.5487333489,-33.02,9
82,9.2075,1.5487333489,-29.21,9
83,9.2075,1.5487333489,-25.4,9
84,9.2075,1.5487333489,-21.59,0
85,9.2075,1.5487333489,-17.78,0
86,9.2075,1.5487333489,-13.97,0
87,9.2075,1.5487333489,-10.16,0
266,-27.347095966,9.5813266371,0.0,0
267,27.125294759,9.8466824182,0.0,0
661,-26.477704962,9.0947233154,-67.85,2
662,-25.601420086,8.6204891313,-67.85,2
663,-24.699594075,8.149056769,-67.85,8
664,-23.810029803,7.7001842972,-67.85,8
665,-22.88177469,7.2485102984,-67.85,8
