node,X,Z,classe
31,27.125294759,-67.85,13
33,-27.347095966,-67.85,13
43,-19.868158499,-65.438903101,1
44,-17.509594447,-62.898903101,10
45,-19.868158499,-61.628903101,1
46,-17.509594447,-59.088903101,10
47,-19.868158499,-57.818903101,11
48,-17.509594447,-55.278903101,10
49,-19.868158499,-54.008903101,10
50,-17.509594447,-51.468903101,16
51,-19.868158499,-50.198903101,16
52,-17.509594447,-47.658903101,9
53,-19.868158499,-46.388903101,0
54,-17.509594447,-43.848903101,0
55,-19.868158499,-42.578903101,0
56,-17.509594447,-40.038903101,8
57,-19.868158499,-38.768903101,26
58,-17.509594447,-36.228903101,26
59,-19.868158499,-34.958903101,26
60,-17.509594447,-32.418903101,26
61,-19.868158499,-31.148903101,0
62,-17.509594447,-28.608903101,0
63,-19.868158499,-27.338903101,0
64,-17.509594447,-24.798903101,0
65,-19.868158499,-23.528903101,0
66,-17.509594447,-20.988903101,9
67,-19.868158499,-19.718903101,9
68,-17.509594447,-17.178903101,9
69,-19.868158499,-15.908903101,9
70,-17.509594447,-13.368903101,9
71,-17.509594447,-9.5589031012,16
72,-19.868158499,-12.098903101,9
73,9.2075,-63.5,14
74,9.2075,-59.69,4
75,9.2075,-55.88,4
76,9.2075,-52.07,18
77,9.2075,-48.26,18
78,9.2075,-44.45,8
79,9.2075,-40.64,8
80,9.2075,-36.83,4
81,9.2075,-33.02,26
82,9.2075,-29.21,8
83,9.2075,-25.4,8
84,9.2075,-21.59,0
85,9.2075,-17.78,9
86,9.2075,-13.97,9
87,9.2075,-10.16,9
266,-27.347095966,0.0,9
267,27.125294759,0.0,9
661,-26.477704962,-67.85,13
662,-25.601420086,-67.85,3
663,-24.699594075,-67.85,17
664,-23.810029803,-67.85,27
665,-22.88177469,-67.85,27
666,-21.979621217,-67.85,17
667,-21.064397646,-67.85,17
668,-20.115228579,-67.85,25
669,-19.182779521,-67.85,25
670,-18.257808124,-67.85,25
671,-17.327624509,-67.85,11
672,-16.392413338,-67.85,14
673,-15.452336753,-67.85,6
674,-14.507549655,-67.85,6
675,-13.55820794,-67.85,6
676,-12.604377522,-67.85,6
677,-11.646276343,-67.85,6
678,-10.684132274,-67.85,6
679,-9.718030763,-67.85,6
680,-8.7481413098,-67.85,6
681,-7.7746550834,-67.85,14
682,-6.797710076,-67.85,14
683,-5.8174970157,-67.85,14
684,-4.8342238111,-67.85,14
685,-3.8481276185,-67.85,14
686,-2.8594815412,-67.85,14
687,-1.8685040481,-67.85,6
688,-0.87560547721,-67.85,6
689,0.1187669887,-67.85,6
690,1.1142645259,-67.85,1
691,2.1103824007,-67.85,24
692,3.1066657147,-67.85,24
693,4.1025708792,-67.85,14
694,5.0975212399,-67.85,24
695,6.0908606988,-67.85,6
696,7.0819975657,-67.85,6
697,8.0701281198,-67.85,6
698,9.0545245299,-67.85,6
699,10.044755341,-67.85,24
700,11.019449326,-67.85,14
701,11.988233549,-67.85,14
702,13.00076237,-67.85,23
703,13.9550246,-67.85,23
704,14.901261849,-67.85,1
705,15.838668632,-67.85,23
706,16.766677877,-67.85,1
707,17.684745281,-67.85,1
708,18.592396988,-67.85,1
709,19.489204536,-67.85,23
710,20.374705928,-67.85,13
711,21.248619571,-67.85,3
712,22.110672056,-67.85,3
713,22.960586754,-67.85,3
714,23.798252793,-67.85,3
715,24.623631244,-67.85,3
716,25.436642742,-67.85,3
717,26.237259408,-67.85,13
718,-27.347095966,-1.4016025633,9
719,-27.347095966,-2.6150905195,9
720,-27.347095966,-3.9139580729,9
721,-27.347095966,-5.4109077075,9
722,-27.347095966,-6.6310632328,9
723,-27.347095966,-7.9465658294,9
724,-27.347095966,-9.2557585468,9
725,-27.347095966,-10.663670989,9
726,-27.347095966,-11.92214986,9
727,-27.347095966,-13.204158103,9
728,-27.347095966,-14.696278746,0
729,-27.347095966,-16.097881309,0
730,-27.347095966,-17.294734222,0
731,-27.347095966,-18.610236819,0
732,-27.347095966,-19.994312893,0
733,-27.347095966,-21.327341979,0
734,-27.347095966,-22.626417467,0
735,-27.347095966,-23.895600512,0
736,-27.347095966,-25.359949735,0
737,-27.347095966,-26.561991825,0
738,-27.347095966,-27.872305245,0
739,-27.347095966,-29.346363147,0
740,-27.347095966,-30.713526721,0
741,-27.347095966,-31.991012968,0
742,-27.347095966,-33.306515565,26
743,-27.347095966,-34.59986812,26
744,-27.347095966,-36.023620724,26
745,-27.347095966,-37.266259432,26
746,-27.347095966,-38.548267676,26
747,-27.347095966,-40.074842086,26
748,-27.347095966,-41.271694999,26
749,-27.347095966,-42.587197595,26
750,-27.347095966,-43.955418729,26
751,-27.347095966,-45.304302755,26
752,-27.347095966,-46.595450773,26
753,-27.347095966,-47.877459017,26
754,-27.347095966,-49.15946726,0
755,-27.347095966,-50.652413108,0
756,-27.347095966,-51.849266021,0
